employee_name,first_matched_job_title,employee_name_clean,location,year_stored
Prof. Dr. Jens Siebert,prof.,Jens Siebert,villingen-schwenningen,2022
Prof. Dr. Peter Stebel,prof.,Peter Stebel,villingen-schwenningen,2022
Prof. Dr. Petra Stellmach,prof.,Petra Stellmach,villingen-schwenningen,2022
Prof. Dr. Jens Siebert,prof.,Jens Siebert,villingen-schwenningen,2022
Prof. Dr. Martin Kimmig,prof.,Martin Kimmig,villingen-schwenningen,2022
Prof. Dr. Martina Menne,prof.,Martina Menne,villingen-schwenningen,2022
Prof. Dr. Sabrina Kummer,prof.,Sabrina Kummer,villingen-schwenningen,2022
Prof. Dr. Paula Wellmann,prof.,Paula Wellmann,villingen-schwenningen,2022
Prof. Dr. Beate Blank,prof.,Beate Blank,villingen-schwenningen,2022
Prof. Dr. Markus Schoor,prof.,Markus Schoor,villingen-schwenningen,2022
Prof. Dr. Markus Schoor,prof.,Markus Schoor,villingen-schwenningen,2022
Dr. Stephanie Ashford,dr.,Stephanie Ashford,villingen-schwenningen,2022
Prof. Dr. Gunter Heeb,prof.,Gunter Heeb,villingen-schwenningen,2022
Prof. Dr. Wolfgang Hirschberger,prof.,Wolfgang Hirschberger,villingen-schwenningen,2022
Prof. Dr. Stefan Stoll,prof.,Stefan Stoll,villingen-schwenningen,2022
Prof. Dr. Markus Schoor,prof.,Markus Schoor,villingen-schwenningen,2022
