AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED,PUB_AUTHORS_LIST
Roland Küstermann,Same … but Different,2020,"Derr, Katja; Götz, Gerhard; Küstermann, Roland; Schmidt, Christian; Weigand, Hans-Georg",ContributionBookEdited,,,,,,,,"['Katja Derr', 'Gerhard Götz', 'Roland Küstermann', 'Christian Schmidt', 'Hans-Georg Weigand']"
,"Corona, Brexit und der britische Arbeitsmarkt",2020,dpa; u.a. Interview mit Prof. Dr. Andrew Lee,JournalArticle,,,,,,,,"['dpa', ' u.a. Interview mit Prof. Dr. Andrew Lee']"
Ulf-Daniel Ehlers,Future Skills,2020,"Ehlers, Ulf-Daniel",Book,Springer,,DOI: https://doi.org/10.1007/978-3-658-29297-3,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,Future Skills,2020,"Ehlers, Ulf-Daniel",Book,Springer,,DOI: https://doi.org/10.1007/978-3-658-29297-3,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,Studium der Zukunft – Absolvent(innen) der Zukunft,2020,"Ehlers, Ulf-Daniel; Meertens, Sarah A.",Book,Springer,,DOI: https://doi.org/10.1007/978-3-658-29427-4,,,,,"['Ulf-Daniel Ehlers', 'Sarah A. Meertens']"
Ulf-Daniel Ehlers,Digital Leadership in Higher Education,2020,"Ehlers, Ulf-Daniel",JournalArticle,,,,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,Grand Challenge: Lehren und Lehren für eine ungewisse Zukunft,2020,"Ehlers, Ulf-Daniel; Bonaudo, Patricia",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Patricia Bonaudo']"
Ulf-Daniel Ehlers,Grand Challenge: Open Educational Practices Focusing on Future Skills,2020,"Ehlers, Ulf-Daniel; Bonaudo, Patricia",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Patricia Bonaudo']"
Ulf-Daniel Ehlers,Lehren mit OER: Förderung von Kompetenzen für Lehrende an Hochschulen für offene Bildung auf spielerischem Weg,2020,"Ehlers, Ulf-Daniel; Bonaudo, Patricia",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Patricia Bonaudo']"
Ulf-Daniel Ehlers,Shaping The next normal - Explorative expert survey among teachers,2020,"Ehlers, Ulf-Daniel; Bonaudo, Patricia",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Patricia Bonaudo']"
