AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Frank Bayer,Korrosionsschutz von Stahlbauten durch Beschichtungssysteme,2020,"['Frank Bayer', 'Guido Gormanns', 'Joachim Pflugfelder', 'Andreas Schütz', 'Philipp Suppan']",,Chapter,,10.1002/9783433610053.ch4,2022-04-07
Frank Bayer,Projekt Landcover_4_wind: Verbesserung der Windfeldprognose durch Satellitendaten der Landoberfläche,2018,"['Frank Bayer', 'Annekatrin Metz-Marconcini', 'Thomas Esch', 'Marion Schroedter-Homscheidt']",,Conference Paper,,,2022-04-07
Frank Bayer,Neue Kriterien für Korrosionsschutz im Stahlbau,2013,"['Reinhard Konermann', 'Dr. Frank Bayer']",JOT,Article,,10.1365/s35144-013-0539-1,2022-04-07
Frank Bayer,Neue DGNB-Kriterien für ökologische Qualität,2012,"['Frank Bayer', 'Reinhard Konermann']",Bautechnik,Article,,10.1002/bate.201201573,2022-04-07
Frank Bayer,VOC-arme Lacke und vieles mehr,2012,['Dr. Frank Bayer'],JOT,Article,,10.1365/s35144-012-0318-4,2022-04-07
Frank Bayer,Weniger VOC durch Hybrid-Beschichtungssysteme,2011,['Dr. Frank Bayer'],JOT,Article,,10.1365/s35144-011-0009-6,2022-04-07
Frank Bayer,Computing in the City of Milwaukee: The data-based geographical information system,1982,['Frank Bayer'],Computers Environment and Urban Systems,Article,,10.1016/0198-9715(82)90071-0,2022-04-07
Frank Bayer,Malá škola zraku a logiky 1 : kombinační cvičení /,2022,"['Michael Junga', 'Frank Bayer']",,Article,,,2022-04-07
Frank Bayer,Permeation und Retention bei der Ultrafiltration von wasserlackhaltigen Abwässern /,2022,['Frank. Bayer'],,Article,,,2022-04-07
