,JOURNAL,ISSN,JQ3,IN_PARTIAL_RANKING
99,Business Research (früher: BuR - Business Research),1866-8658,B,ABWL
100,Business Strategy and the Environment,0964-4733,B,"NAMA, SM"
101,Business Strategy Review,0955-6419,C,"ABWL, SM"
102,California Management Review,0008-1256,B,ABWL
103,Canadian Journal of Economics - Revue Canadienne d'économique,0008-4085,k.R.,STEU
104,Canadian Tax Journal - Revue Fiscale Canadienne,0008-5111,k.R.,STEU
105,Central European Journal of Operations Research,1435-246X,C,OR
106,Communications of the ACM (CACM),0001-0782,B,WI
107,Communications of the Association for Information Systems (CAIS),1529-3181,C,WI
108,Computational Management Science,1619-697X,k.R.,OR
109,Computer Networks,1389-1286,k.R.,WI
110,Computer Supported Cooperative Work (CSCW),0925-9724,C,WI
111,Computers and Industrial Engineering,0360-8352,B,PROD
112,Computers and Operations Research,0305-0548,B,"OR, WI"
113,Computers in Industry,0166-3615,C,"OR, PROD, ORG / PERS, WI"
114,"Consumption, Markets and Culture",1025-3866,k.R.,MARK
115,Contemporary Accounting Research - Recherche Comptable Contemporaine,0823-9150,A,"STEU, RECH"
116,Controller Magazin,1616-0495,k.w.Z.,RECH
117,Controlling & Management Review (früher: Zeitschrift für Controlling und Management ZfCM),2195-8262,D,"PROD, RECH"
118,"Controlling, Zeitschrift für erfolgsorientierte Unternehmenssteuerung",0935-0381,D,RECH
119,Corporate Finance (früher: Finanz Betrieb FB),1437-8981,D,"STEU, RECH"
120,Corporate Governance An International Review,0964-8410,C,ABWL
121,Corporate Governance: The International Journal of Business in Society,1472-0701,C,NAMA
122,Corporate Ownership and Control,1727-9232,C,ABWL
123,Corporate Reputation Review,1363-3589,D,"MARK, ORG / PERS"
124,Corporate Social Responsibility and Environmental Management,1535-3958,C,NAMA
125,Cost Management,1092-8057,D,RECH
126,Creativity and Innovation Management,0963-1690,C,"TIE, Entrepreneurship"
127,Credit and Capital Markets - Kredit und Kapital,2199-1227,C,BA-FI
128,Critical Finance Review,2164-5744,k.R.,BA-FI
129,Critical Perspectives on Accounting,1045-2354,B,RECH
130,Critical Perspectives on International Business,1742-2043,k.R.,INT
131,Cross Cultural Management: An International Journal,1352-7606,C,"INT, ORG / PERS"
132,Cross-Cultural Research,1069-3971,k.R.,INT
133,Culture and Organization,1475-9551,k.R.,ORG / PERS
134,Customer Needs and Solutions,2196-291X,k.R.,MARK
135,Das Gesundheitswesen,0941-3790,C,Gesundheitswesen
136,Das Hochschulwesen,0018-2974,k.R.,"HSM, ÖBWL"
137,Das Krankenhaus,0340-3602,k.w.Z.,keine Disziplin
138,Data & Knowledge Engineering,0169-023X,B,"ORG / PERS, WI"
139,Database and Expert Systems Applications. Proceedings of the International Conference DEXA (früher: Proceedings of the International Conference on Database and Expert Systems Applications),verschiedene ISBN,k.R.,WI
140,Datenschutz und Datensicherheit,0724-4371,k.R.,WI
141,DBW Die Betriebswirtschaft- Business Administration Review (BAReV),0342-7064,C,ABWL
142,Decision Analysis,1545-8490,k.R.,OR
143,Decision Sciences,0011-7315,B,"OR, PROD, WI"
144,Decision Support Systems (DSS),0167-9236,B,"MARK, OR, ORG / PERS, WI"
145,Der Betrieb,0005-9935,D,"STEU, RECH"
146,Der Betriebswirt - Management in Wissenschaft und Praxis,0172-6196,D,ABWL
147,"Der Konzern: Zeitschrift fr Gesellschaftsrecht, Steuerrecht, Bilanzrecht und Rechnungslegung der verbundenen Unternehmen",1611-2296,D,RECH
148,der markt - International Journal of Marketing (eingestellt 2013),0025-3863,D,MARK
149,"der moderne staat: Zeitschrift für Public Policy, Recht und Management (DMS)",1865-7192,C,ÖBWL
150,Der Steuerberater - Zeitschrift für Beruf und Praxis,0049-223X,k.w.Z.,STEU
151,Deutsche SteuerZeitung,0724-5637,D,STEU
152,Deutsches Steuerrecht (DStR),0949-7676,D,"STEU, RECH"
153,Die Aktiengesellschaft,0002-3752,D,STEU
154,Die Bank,0342-3182,k.w.Z.,BA-FI
155,Die Öffentliche Verwaltung (DÖV),0029-859X,k.R.,ÖBWL
156,Die Steuerberatung (Stbg),0490-9658,k.w.Z.,STEU
