employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Koslowski, Frank, Prof. Dr.",professor,Frank Koslowski,mannheim,2022
"Krcal, Hans-Christian, Prof. Dr.",professor,Hans-Christian Krcal,mannheim,2022
"Krug, Simone, Prof. Dr.",professor,Simone Krug,mannheim,2022
"Kruse, Eckhard, Prof. Dr.",professor,Eckhard Kruse,mannheim,2022
"Kubach, René",akademisch,René Kubach,mannheim,2022
"Kuhlmann, Thorsten, B.A.",professor,Thorsten Kuhlmann,mannheim,2022
"Kwasniok, Sascha, Prof. Dr.",professor,Sascha Kwasniok,mannheim,2022
"Lamek-Creutz, Bozena, Prof. Dr.-Ing.",professor,Bozena Lamek-Creutz,mannheim,2022
"Land, Beate, Prof. Dr.",professor,Beate Land,mannheim,2022
"Lanninger, Volker, Prof. Dr.",professor,Volker Lanninger,mannheim,2022
"Lembke, Gerald, Prof. Dr.",professor,Gerald Lembke,mannheim,2022
"Litzenberger, Rolf, Prof. Dr.",professor,Rolf Litzenberger,mannheim,2022
"Mahn, Bernd, Prof. Dr.",professor,Bernd Mahn,mannheim,2022
"Maier, Björn, Prof. Dr.",professor,Björn Maier,mannheim,2022
"Malinski, Peter, Prof. Dr.",professor,Peter Malinski,mannheim,2022
"Martin, Helena",akademisch,Helena Martin,mannheim,2022
"Martin, Clemens, Prof. Dr.-Ing.",professor,Clemens Martin,mannheim,2022
"Matt, Michael, Prof. Dr.",professor,Michael Matt,mannheim,2022
"Meier, Alexander, Prof. Dr.",professor,Alexander Meier,mannheim,2022
"Meier, Victor, Prof. Dr.",professor,Victor Meier,mannheim,2022
"Meissner, Hans, Prof. Dr.",professor,Hans Meissner,mannheim,2022
"Mkrtchyan, Lilit, Prof. Dr.",professor,Lilit Mkrtchyan,mannheim,2022
"Moessinger, Marc-Daniel, Prof. Dr.",professor,Marc-Daniel Moessinger,mannheim,2022
"Möhring, Nicole, Prof. Dr.",professor,Nicole Möhring,mannheim,2022
"Moroff, Gerhard, Prof. Dr.",professor,Gerhard Moroff,mannheim,2022
"Mroczek, Eva, Dr.",dr.,Eva Mroczek,mannheim,2022
"Mühlhan, Claus, Prof. Dr.-Ing.",professor,Claus Mühlhan,mannheim,2022
"Müller, Alisa",akademisch,Alisa Müller,mannheim,2022
"Nagler, Georg, Prof. Dr.",prof.,Georg Nagler,mannheim,2022
"Nehm, Alexander, Prof. Dr.",professor,Alexander Nehm,mannheim,2022
"Nitsch, Harald, Prof. Dr.",professor,Harald Nitsch,mannheim,2022
"Nolte, Cornelius, Prof. Dr.",professor,Cornelius Nolte,mannheim,2022
"Obermayr, David",akademisch,David Obermayr,mannheim,2022
"Ostermayer, Dirk, Prof. Dr.-Ing.",professor,Dirk Ostermayer,mannheim,2022
"Pagnia, Nicole",akademisch,Nicole Pagnia,mannheim,2022
"Pagnia, Hans-Henning, Prof. Dr.",professor,Hans-Henning Pagnia,mannheim,2022
"Paul, Christopher, Prof. Dr.",professor,Christopher Paul,mannheim,2022
"Peterfi, Marc",akademisch,Marc Peterfi,mannheim,2022
"Pfisterer, Dennis, Prof. Dr.-Ing.",professor,Dennis Pfisterer,mannheim,2022
"Pock, von, Michael, Prof. Dr.",professor,von Pock,mannheim,2022
"Preiser, Konrad, Prof. Dr.",professor,Konrad Preiser,mannheim,2022
"Priesnitz, Joachim, Prof. Dr.",professor,Joachim Priesnitz,mannheim,2022
"Rech, Nicole",professor,Nicole Rech,mannheim,2022
"Redelius, Jürgen, Prof. Dr.",professor,Jürgen Redelius,mannheim,2022
"Reitermann, Tanja",wissenschaftlich,Tanja Reitermann,mannheim,2022
"Reker, Christoph, Prof. Dr.",professor,Christoph Reker,mannheim,2022
"Ritterbusch, Sebastian, Prof. Dr.",professor,Sebastian Ritterbusch,mannheim,2022
"Rutesic, Petko, M.Sc.",wissenschaftlich,Petko Rutesic,mannheim,2022
"Sauter, Lisa",akademisch,Lisa Sauter,mannheim,2022
"Schael, Arndt-Erik, Prof. Dr.",professor,Arndt-Erik Schael,mannheim,2022
