employee_name,first_matched_job_title,employee_name_clean,location,year_stored
Tobias Alf,Wissenschaftlicher Mitarbeiter,Tobias Alf,stuttgart,2021
Prof. Dipl.-Ing. Tobias Ankele,"Studiengangsleiter Maschinenbau - Produktionstechnik, 1. Studienjahr",Tobias Ankele,stuttgart,2021
Prof. Dr. rer. pol. Jenny Arens,Professorin für Immobilienfinanzierung und-research,Jenny Arens,stuttgart,2021
Prof. Dr. Friedrich Augenstein,Studiendekan und Studiengangsleiter BWL-Dienstleistungsmanagement,Friedrich Augenstein,stuttgart,2021
Prof. Dr. Timo Baas,"Professor in BWL-Industrie, insbesondere Volkswirtschaftslehre",Timo Baas,stuttgart,2021
Prof. Dr. Mario Babilon,Studiengangsleiter Informatik,Mario Babilon,stuttgart,2021
Mandy Badermann,Wissenschaftliche Mitarbeiterin,Mandy Badermann,stuttgart,2021
Prof. Dr. phil. Robin Bauer,Professor für Soziale Arbeit,Robin Bauer,stuttgart,2021
Prof. Dr. Peter Baumeister,Professor für Recht der Sozialen Arbeit,Peter Baumeister,stuttgart,2021
Prof. Dr. Frank Beham,"Professor für BWL, insb. Digitale Transformation",Frank Beham,stuttgart,2021
Prof. Dr.-Ing. Lothar Bergen,Professor für Wirtschaftingenieurwesen,Lothar Bergen,stuttgart,2021
Prof. Dr. Thomas Berger,Professor für Wirtschaftsingenieurwesen,Thomas Berger,stuttgart,2021
Prof. Dr. Raymond Bimazubute,Studiengangsleiter Wirtschaftsinformatik,Raymond Bimazubute,stuttgart,2021
Ivana Birisic M.Sc.,Wissenschaftliche Mitarbeiterin,Ivana Birisic,stuttgart,2021
Prof. Dr.-Ing. Roland Blümel,Professor für Mechatronik,Roland Blümel,stuttgart,2021
Prof. Dr.-Ing. Hannah Böhrk,Professorin für Mechatronik,Hannah Böhrk,stuttgart,2021
Prof. Dr. Achim Boomers,Studiengangsleiter BWL-Industrie,Achim Boomers,stuttgart,2021
Andrea Bosch,Wissenschaftliche Mitarbeiterin im Studiengang Angewandte Hebammenwissenschaft,Andrea Bosch,stuttgart,2021
Prof. Dr.-Ing. Jens Helge Bossmann,Professor für Wirtschaftsingenieurwesen,Jens Helge Bossmann,stuttgart,2021
Kristina Braak,Wissenschaftliche Mitarbeiterin,Kristina Braak,stuttgart,2021
Jutta Braun,Sekretariat Studiengangsleitung Sozialwesen,Jutta Braun,stuttgart,2021
Prof. Dr. Jan Breitweg,Studiendekan und Studiengangsleiter RSW,Jan Breitweg,stuttgart,2021
Prof. Dr. Ulrich Bucher,"Professor für Betriebswirtschaftslehre, insbesondere Marketing und Dienstleistungsmanagement",Ulrich Bucher,stuttgart,2021
Amelie Büchler M.A.,Wissenschaftliche Mitarbeiterin,Amelie Büchler,stuttgart,2021
Prof. Dr. rer. medic. Marion Burckhardt,"Professorin für Angewandte Gesundheitswissenschaften für Pflege, insb. Pflegewissenschaft und klinische Praxis",Marion Burckhardt,stuttgart,2021
Maria Casado-Bernert M.Sc.,Wissenschaftliche Mitarbeiterin,Maria Casado-Bernert,stuttgart,2021
Prof. Dr. Sanela Celjo-Hörhager,Professorin für BWL-Versicherungen,Sanela Celjo-Hörhager,stuttgart,2021
Prof. Dr. Elisabeth Conradi,Professorin für Gesellschaftstheorie und Philosophie,Elisabeth Conradi,stuttgart,2021
Prof. Dr. rer. cur. Bettina Flaiz RN,"Studiengangsleiterin Angewandte Gesundheits- und Pflegewissenschaften, Professorin für Angewandte Gesundheitswissenschaften für Pflege, insbesondere Gerontologie und Geriatrie",Bettina Flaiz RN,stuttgart,2021
Prof. Dr. Janko Dietzsch,Professor an der DHBW,Janko Dietzsch,stuttgart,2021
Julia Dölling,Wissenschaftliche Mitarbeiterin,Julia Dölling,stuttgart,2021
Prof. Dr.-Ing. Stefan Döttling,Studiengangsleiter Wirtschaftsingenieurwesen,Stefan Döttling,stuttgart,2021
Prof. Dr. med. Margrit Ebinger,"Studiengangsleiterin für Angewandte Gesundheits- und Pflegewissenschaften, insbesondere Medizin",Margrit Ebinger,stuttgart,2021
Udo Efkes,Wissenschaftlicher Mitarbeiter,Udo Efkes,stuttgart,2021
Prof. PH.D. Andreas Faßler,Professor für Sozialarbeitswissenschaft und Methodenlehre,Andreas Faßler,stuttgart,2021
Prof. Dr. Georg Fehling,Studiengangsleiter Wirtschaftsingenieurwesen,Georg Fehling,stuttgart,2021
Prof. Dr. Margarete Finkel,Studiengangsleiterin Erziehungshilfen/ Kinder- und Jugendhilfe 2,Margarete Finkel,stuttgart,2021
Prof. Dr. rer. cur. Bettina Flaiz RN,"Studiengangsleiterin Angewandte Gesundheits- und Pflegewissenschaften, Professorin für Angewandte Gesundheitswissenschaften für Pflege, insbesondere Gerontologie und Geriatrie",Bettina Flaiz RN,stuttgart,2021
Prof.  Dr.-Ing. Tobias Gerhard Flämig,Studiengangsleiter Mechatronik,Tobias Gerhard Flämig,stuttgart,2021
Prof. Stefan Fünfgeld,"Prodekan Fakultät Wirtschaft und Studiengangsleiter BWL-DLM-Non-Profit-Organisationen, Verbände und Stiftungen, BWL-DLM-Sportmanagement",Stefan Fünfgeld,stuttgart,2021
Prof. Dr.-Ing. Uwe Gaese,Professor für Maschinenbau,Uwe Gaese,stuttgart,2021
Prof. Dipl.-Ing. Anke Gärtner-Niemann,Studiengangsleiterin Elektrotechnik,Anke Gärtner-Niemann,stuttgart,2021
Prof. Dr. Hans-Peter Gondring,"Studiengangsleiter Immobilienwirtschaft/Versicherung, Studiendekan Studienzentrum Finanzwirtschaft",Hans-Peter Gondring,stuttgart,2021
Prof. Dr. rer. nat. Christian Götz,Professor für Maschinenbau,Christian Götz,stuttgart,2021
Prof. Dr.-Ing. Andreas Griesinger,"Studiengangsleiter Maschinenbau - Konstruktion und Entwicklung, Produktionstechnik, 2. Studienjahr",Andreas Griesinger,stuttgart,2021
Meike Grimme,Wissenschaftliche Mitarbeiterin,Meike Grimme,stuttgart,2021
Prof. Dr. Michael Grobosch,Professor im Fachgebiet Volkswirtschaftslehre in der Fakultät Wirtschaft,Michael Grobosch,stuttgart,2021
Prof. Dr. Roman Gruden,Professor für Elektrotechnik,Roman Gruden,stuttgart,2021
Daniel Grühn,Wissenschaftlicher Mitarbeiter,Daniel Grühn,stuttgart,2021
Prof. Dr. Thilo Grundmann,"Professor für BWL-Finanzdienstleistungen, insb. Finanzprodukte/Finanzierungstechnik",Thilo Grundmann,stuttgart,2021
Prof. Dr. Klaus Grunwald,Studiengangsleiter Soziale Arbeit in Pflege und Rehabilitation,Klaus Grunwald,stuttgart,2021
"Antje Hackemann M.Sc., M.A.",Wissenschaftliche Mitarbeiterin,Antje Hackemann,stuttgart,2021
Prof. Dr. Martin Häfele,Studiengangsleiter Elektrotechnik,Martin Häfele,stuttgart,2021
Simon Hahn,Wissenschaftlicher Mitarbeiter im Zentrum für Managementsimulation,Simon Hahn,stuttgart,2021
Prof. Dr. Petra Hardock,"Studiendekanin, Studiengangsleiterin BWL-Industrie",Petra Hardock,stuttgart,2021
Prof. Dr. Dirk Hartel,Studiengangsleiter BWL-Dienstleistungsmanagement,Dirk Hartel,stuttgart,2021
Prof. Dr. Natalie Hartmann,Professorin für Soziale Arbeit,Natalie Hartmann,stuttgart,2021
