AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED
Friedemann Stockmayer,Design using Standard Description Languages,2003.0,"['F Stockmayer', ' H Kreutzer']",, The Electronic Design Automation Handbook,,,2.0,,7.0,2022-04-02
Friedemann Stockmayer,Graphical Specification of System Behavior,2003.0,"['F Stockmayer', ' H Kreutzer']",, The Electronic Design Automation Handbook,,,,,7.0,2022-04-02
Friedemann Stockmayer,Medidas de prestaciones ATM: la información está en la célula,1999.0,['F Stockmayer'],, Revista española de electrónica,,,,,,2022-04-02
Alexander Kressner,[BOOK][B] Modelle und Lösungsverfahren für die Hauptoperationsplanung bei unsicheren Operationsdauern,2019.0,['A Kressner '],,,,,1.0,,,2022-03-25
Alexander Kressner,Clustering surgical procedures for master surgical scheduling,2017.0,"['A Kressner', ' K Schimmelpfeng ']",,,,,,,,2022-03-25
Alexander Kressner,Entwicklung eines konzeptionellen Optimierungsmodells zur Erstellung zyklischer Hauptoperationspläne mit unsicheren Operationsdauern,2019.0,['A Kressner'],, Modelle und Lösungsverfahren für die …,,,,,,2022-03-25
Alexander Kressner,Entwicklung eines Lösungsverfahrens basierend auf einer Problemdekomposition,2019.0,['A Kressner'],, Modelle und Lösungsverfahren für die …,,,,,,2022-03-25
Alexander Kressner,Numerische Studie,2019.0,['A Kressner'],, Modelle und Lösungsverfahren für die …,,,,,,2022-03-25
Alexander Kressner,Analyse ausgewählter praxisrelevanter Fragestellungen für die Hauptoperationsplanung,2019.0,['A Kressner'],, Modelle und Lösungsverfahren für die …,,,,,,2022-03-25
Alexander Kressner,Beschreibung des zu untersuchenden Forschungsgegenstands,2019.0,['A Kressner'],, Modelle und Lösungsverfahren für die …,,,,,,2022-03-25
Alexander Kressner,Lineare Approximationen des nicht-linearen Optimierungsmodells der Hauptoperationsplanung zur Vorbereitung eines geeigneten Lösungsverfahrens,2019.0,['A Kressner'],, Modelle und Lösungsverfahren für die …,,,,,,2022-03-25
Anne-Katrin Schührer,Migrantinnen engagieren sich (doch),2018.0,['AK Schührer'],, Soziale Arbeit in der Migrationsgesellschaft,,,2.0,,,2022-03-25
Anne-Katrin Schührer,Bürgerschaftliches Engagement,2019.0,['AK Schührer'],, Migration und Engagement,,,1.0,,,2022-03-25
Anne-Katrin Schührer,"Freiwilliges Engagement von Frauen mit Zuwanderungsgeschichte–Anerkennung, Inklusion oder Lebensbewältigung?",2019.0,['AK Schührer'],, Freiwilliges Engagement und soziale Inklusion,,,1.0,,,2022-03-25
Anne-Katrin Schührer,[BOOK][B] Migration und Engagement,2019.0,['AK Schührer '],,,,,10.0,,,2022-03-25
Anne-Katrin Schührer,Soziale Inklusion durch bürgerschaftliches Engagement?,,['AK SCHÜHRER '],,,,,,,,2022-03-25
Anne-Katrin Schührer,Fazit und Handlungsempfehlungen,2019.0,['AK Schührer'],, Migration und Engagement,,,,,,2022-03-25
Anne-Katrin Schührer,Verknüpfung von Empirie und Theorie,2019.0,['AK Schührer'],, Migration und Engagement,,,,,,2022-03-25
Anne-Katrin Schührer,Bestandsaufnahme der Forschung in Deutschland,2019.0,['AK Schührer'],, Migration und Engagement,,,,,,2022-03-25
Anne-Katrin Schührer,Zentrale theoretische Bezüge,2019.0,['AK Schührer'],, Migration und Engagement,,,,,,2022-03-25
Andreas Kaapke,[BOOK][B] Lexikon Handelsmanagement,2009.0,"['K Hudetz', ' A Kaapke', ' K Brüne', ' S Czech']",,,,,31.0,,,2022-03-25
Andreas Kaapke,Fachgeschäfte und Fachmärkte—Erscheinungsformen und künftige Entwicklung,2006.0,['A Kaapke'],, Handbuch Handel,,,12.0,,,2022-03-25
Andreas Kaapke,Handelsmarken—Fluch und Segen zugleich?,2005.0,['A Kaapke'],, Praxisorientierte Markenführung,,,7.0,,,2022-03-25
Andreas Kaapke,"Der vollversorgende pharmazeutische Großhandel–Profil, Rahmenbedingungen und Systemvergleich",2018.0,"['M Preißner', ' J Küppers', ' A Kaapke', ' N Kleber']",,,,,2.0,,,2022-03-25
Andreas Kaapke,Human Resource Management im Handel,2012.0,['A Kaapke'],, Handbuch Handel,,,2.0,,,2022-03-25
Andreas Kaapke,Frauen und Demographie,2009.0,['A Kaapke'],, Wettlauf um die Frauen,,,1.0,,,2022-03-25
Andreas Kaapke,Handelsmarken-Fluch und Segen,2005.0,['A Kaapke'],, … Neue Strategien,,,,,,2022-03-25
Andreas Kaapke,Logistik als Schlüsselfaktor im Großhandel—dargestellt am Beispiel des Autoteilehandels,2007.0,['A Kaapke'],, Theoretische Fundierung und praktische Relevanz der …,,,,,,2022-03-25
Dirk Klimkeit,Organizational context and collaboration on international projects: The case of a professional service firm,2013.0,['D Klimkeit'],, International Journal of Project Management,,,44.0,C,318.0,2022-03-25
Dirk Klimkeit,Local responses to global integration in a transnational professional service firm,2016.0,"['D Klimkeit', ' M Reihlen']",, Journal of Professions and Organization,,,20.0,A,70.0,2022-03-25
Dirk Klimkeit,Organizational practice transfer within a transnational professional service firm: the role of leadership and control,2016.0,"['D Klimkeit', ' M Reihlen']",, The International Journal of Human …,,,16.0,B,106.0,2022-03-25
Dirk Klimkeit,No longer second-class citizens: Redefining organizational identity as a response to digitalization in accounting shared services,2022.0,"['D Klimkeit', ' M Reihlen']",, Journal of Professions and Organization,,,,A,70.0,2022-03-25
Dirk Klimkeit,"Networks, forms of exchange and motivations",2005.0,['D Klimkeit'],, Biennial Conference on Professional Knowledge …,,,6.0,,,2022-03-25
Dirk Klimkeit,[BOOK][B] Service Excellence in Tourism and Hospitality: Insights from Asia,2021.0,"['K Thirumaran', ' D Klimkeit', ' CM Tang ']",,,,,2.0,,,2022-03-25
Dirk Klimkeit,Introduction: Service Excellence in Asian Tourism and Hospitality,2021.0,"['D Klimkeit', ' CM Tang', ' K Thirumaran']",, Service Excellence in Tourism and …,,,,,,2022-03-25
Dirk Klimkeit,[BOOK][B] Management of Shared Service Centers in Asia: Examples from Malaysia and Singapore,2018.0,['D Klimkeit '],,,,,1.0,,,2022-03-25
Dirk Klimkeit,Service Excellence in Tourism and Hospitality,2021.0,"['K Thirumaran', ' D Klimkeit', ' CM Tang ']",,,,,,,,2022-03-25
Dirk Klimkeit,Measuring Customer Delight in Tourism and Hospitality Operations: Findings from Singapore and Malaysia,2021.0,"['G Maier Tolic', ' D Klimkeit', ' A Dingeldey']",, Service Excellence in Tourism and …,,,,,,2022-03-25
Dirk Klimkeit,Conclusion: The Future of Service Excellence in Asia,2021.0,"['CM Tang', ' D Klimkeit', ' K Thirumaran']",, Service Excellence in Tourism and …,,,,,,2022-03-25
Dirk Klimkeit,Organizational Context and Collaboration on International Projects,,['D Klimkeit '],,,,,,,,2022-03-25
Dirk Klimkeit,Otto Group Chair of Strategic Management,,"['D Klimkeit', ' M Reihlen ']",,,,,,,,2022-03-25
Friedemann Schwenkreis,ConTracts - A Low-Level Mechanism for Building General-Purpose Workflow Management-Systems,1995.0,"['A Reuter', ' F Schwenkreis']",,IEEE Data Eng. Bull.,,,131.0,,,2022-03-25
Friedemann Schwenkreis,Contracts revisited,1997.0,"['A Reuter', ' K Schneider', ' F Schwenkreis']",,Advanced Transaction Models and Architectures,,,63.0,,,2022-03-25
Friedemann Schwenkreis,Method and system for detecting deviations in data tables,2005.0,"['A Arning', ' T Bollinger', ' R Keuler', ' FH Schwenkreis']",,US Patent,,,55.0,,,2022-03-25
Friedemann Schwenkreis,Special issue on workflow systems,1995.0,['M Hsu'],,Bulletin of the Technical Committee on Data Engineering (IEEE Computer …,,,45.0,,,2022-03-25
Friedemann Schwenkreis,APRICOTS a prototype implementation of a ConTract system: management of the control flow and the communication system,1993.0,['F Schwenkreis'],,Proceedings of IEEE Symposium on Reliable Distributed Systems,,,41.0,,48.0,2022-03-25
Friedemann Schwenkreis,Dynamic determination of transaction boundaries in workflow systems,2008.0,"['A Arning', ' M Kloppmann', ' F Leymann', ' G Pfau', ' D Roller', ' A Schmitz', ' ...']",,US Patent,,,36.0,,,2022-03-25
Friedemann Schwenkreis,Pre-executing workflow preparation activities based on activity probabilities and system load and capacity threshold requirements,2016.0,"['F Leymann', ' S Moser', ' F Schwenkreis']",,US Patent,,,24.0,,,2022-03-25
Friedemann Schwenkreis,Optimization of process properties for workflows with failing activities,2005.0,"['A Arning', ' M Kloppmann', ' F Leymann', ' G Pfau', ' D Roller', ' A Schmitz', ' ...']",,US Patent App.,,,23.0,,,2022-03-25
Friedemann Schwenkreis,Data mining for association rules and sequential patterns within data of inhomogeneous type,2003.0,['F Schwenkreis'],,US Patent,,,19.0,,,2022-03-25
Friedemann Schwenkreis,Editing source code,2012.0,"['A Arning', ' F Schwenkreis']",,US Patent,,,18.0,,,2022-03-25
Friedemann Schwenkreis,A formal approach to synchronize long-lived computations,1994.0,['F Schwenkreis'],,Proc. of the Australasian Conf. in Information Systems,,,17.0,,18.0,2022-03-25
Friedemann Schwenkreis,System and algorithm for monitoring event specification and event subscription models,2010.0,"['GD Adams', ' MW Brown', ' SG Derdak', ' F Schwenkreis']",,US Patent,,,14.0,,,2022-03-25
Friedemann Schwenkreis,A Graded Concept of an Information Model for Evaluating Performance in Team Handball.,2019.0,['F Schwenkreis'],,DATA,,,9.0,,64.0,2022-03-25
Friedemann Schwenkreis,Workflow for the German Federal Government-a position paper,1996.0,['F Schwenkreis'],,NSF Workshop on Workflow and Process Automation in Information Systems,,,9.0,,,2022-03-25
Friedemann Schwenkreis,APRICOTS-a workflow programming environment,1995.0,['F Schwenkreis'],,Proc. of the Workshop on High Performance Transaction Processing Systems …,,,7.0,,,2022-03-25
Friedemann Schwenkreis,Zuverlässige Abwicklung großer verteilter Anwendungen mit ConTracts–Architektur einer Prototypimplementierung,1992.0,"['A Reuter', ' F Schwenkreis', ' H Wächter']",,R. Bayer,,,7.0,,,2022-03-25
Friedemann Schwenkreis,An Approach to Use Deep Learning to Automatically Recognize Team Tactics in Team Ball Games.,2018.0,['F Schwenkreis'],,DATA,,,6.0,,64.0,2022-03-25
Friedemann Schwenkreis,A three component approach to support team handball coaches,2018.0,['F Schwenkreis'],,Annual Congress of the European College of Sport Science,,,6.0,A,431.0,2022-03-25
Friedemann Schwenkreis,Websphere process server v6-business process choreographer: Concepts and architecture,2006.0,"['M Friess', ' E Fussi', ' D Konig', ' G Pfau', ' S Ruttinger', ' F Schwenkreis', ' C Zentner']",,IBM Group,,,6.0,,,2022-03-25
Friedemann Schwenkreis,The impact of concurrency control on the programming model of ConTracts,1996.0,"['A Schwenkreis', ' A Reuter']",,Proc. of the International Workshop on Advanced Transaction Models and …,,,6.0,,4.0,2022-03-25
Friedemann Schwenkreis,"Advanced Transaction Models and Architectures, chapter Contracts Revisited",1997.0,"['A Reuter', ' K Schneider', ' F Schwenkreis']",,Kluwer,,,5.0,,,2022-03-25
Friedemann Schwenkreis,Synchronizing long-lived computations,1995.0,"['F Schwenkreis', ' A Reuter']",,Performance of concurrency control mechanisms in centralized database …,,,4.0,,,2022-03-25
Friedemann Schwenkreis,Why the concept of shopping baskets helps to analyze team-handball,2020.0,['F Schwenkreis'],,International Conference on Intelligent Data Science Technologies and …,,,3.0,,123.0,2022-03-25
Friedemann Schwenkreis,Coaching support by collecting and analyzing data (CoCoAnDa),2019.0,['F Schwenkreis'],,Opportunities and Challenges for European Projects. Scitepress,,,2.0,,,2022-03-25
Friedemann Schwenkreis,Applied Data Science: An Approach to Explain a Complex Team Ball Game.,2020.0,"['F Schwenkreis', ' E Nothdurft']",,DATA,,,1.0,,64.0,2022-03-25
Friedemann Schwenkreis,Analyzing the BMX Supercross Racing World Cup,2021.0,['F Schwenkreis'],,Annual Congress of the European College of Sports Science,,,,A,431.0,2022-03-25
Friedemann Schwenkreis,A Logical Clock Based Discovery of Patterns,2021.0,['F Schwenkreis'],,International Journal of Data Science and Analysis,,,,k.R.,121.0,2022-03-25
Friedemann Schwenkreis,A Data Science Approach to Explain a Complex Team Ball Game,2020.0,['F Schwenkreis'],,International Conference on Data Management Technologies and Applications …,,,,,125.0,2022-03-25
Friedemann Schwenkreis,Automatic detection of tactics in team ball games and its application: Insights into a research project in the context of a cooperative university,2018.0,['F SCHWENKREIS'],,Refereed Proceedings of the rd International Research Symposium on …,,,,,114.0,2022-03-25
Friedemann Schwenkreis,Editing source code,2017.0,"['A Arning', ' F Schwenkreis']",,US Patent,,,,,,2022-03-25
Friedemann Schwenkreis,Correlating events emitted by software components,2012.0,"['MW Brown', ' F Schwenkreis']",,US Patent,,,,,,2022-03-25
Friedemann Schwenkreis,Korrektheit und deren Durchsetzung im Umfeld langdauernder Abläufe,2001.0,['F Schwenkreis'],,,,,,,,2022-03-25
Friedemann Schwenkreis,Transaktionskonzepte und Recovery-Verfahren für Objektbanken: Zuverlässige Abwicklung großer verteilter Anwendungen mit ConTracts—Architektur einer Prototypimplementierung,1992.0,"['A Reuter', ' F Schwenkreis', ' H Wächter']",,Objektbanken für Experten,,,,,,2022-03-25
Friedemann Schwenkreis,"Keynote Speeches Keynote 1: Integrating Big Data, Data Science and Cyber Security with Applications in Internet of Transportation and Infrastructures",,"['B Thuraisingham', ' K Muhammad', ' F Schwenkreis', ' S El Hajjami', ' J Malki', ' ...']",,,,,,,,2022-03-25
