employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Seitz, Jürgen, Prof. Dr.",Studiengangsleiter Wirtschaftsinformatik,Jürgen Seitz,heidenheim,2021
"Shidende, Deogratias",Akademischer Mitarbeiter BWL - Digital Business Management,Deogratias Shidende,heidenheim,2021
"Speer, Sigrid",Akademische Mitarbeiterin BWL - Digital Business Management,Sigrid Speer,heidenheim,2021
"Stötter, Stephan",Akademischer Mitarbeiter,Stephan Stötter,heidenheim,2021
"Thomisch, Marco, Prof. Dr.-Ing.",Professor Studiengang Wirtschaftsingenieurwesen,Marco Thomisch,heidenheim,2021
"Wander, Carsten, Prof. Dr.","Studiengangsleiter BWL - Spedition, Transport & Logistik",Carsten Wander,heidenheim,2021
"Weber, Sonja",Akademische Mitarbeiterin BWL - Marketing Management,Sonja Weber,heidenheim,2021
"Weidemann, Wolfgang, Prof. Dr.",Studiengangsleiter Medizintechnische Wissenschaften,Wolfgang Weidemann,heidenheim,2021
"Wind, Tanja","Akademische Mitarbeiterin Soziale Dienste der Jugend-, Sozial- und Familienhilfe",Tanja Wind,heidenheim,2021
"Witt, Alexander",Akademischer Mitarbeiter Sozialmanagement,Alexander Witt,heidenheim,2021
"Avella, Prof. Dr. Felice-Alfredo",Professor Fakultät Wirtschaft,Felice-Alfredo Avella,karlsruhe,2021
"Berkling, Ph.D., Prof. Kay Margarethe",Professorin Fakultät Technik,Kay Margarethe Berkling,karlsruhe,2021
"Bonaudo,  Patricia",akademische Mitarbeiterin im Bereich „Lerntechnologien und Digitalisierung“,Patricia Bonaudo,karlsruhe,2021
"Brandstetter,  Christian",akademischer Mitarbeiter im Bereich Entrepreneurial Education,Christian Brandstetter,karlsruhe,2021
"Braun, Prof. Dr. Heinrich",Leiter Studiengang Informatik Fachliche Beratung Master Informatik Wissenschaftliche Leitung Master Informatik,Heinrich Braun,karlsruhe,2021
"Brunner,  Marina",akademische Mitarbeiterin im Bereich Lerntechnologien und Digitalisierung,Marina Brunner,karlsruhe,2021
"Buske, Prof. Dr. Antje",Professorin Fakultät Wirtschaft,Antje Buske,karlsruhe,2021
"Dannenmayer, Prof. Bernd",Professor Fakultät Wirtschaft,Bernd Dannenmayer,karlsruhe,2021
"Ehlers, Prof. Dr. Ulf-Daniel",Professor Fakultät Wirtschaft,Ulf-Daniel Ehlers,karlsruhe,2021
"Eigbrecht,  Laura",akademische Mitarbeiterin im Bereich „Lerntechnologien und Digitalisierung“,Laura Eigbrecht,karlsruhe,2021
"Erb, Prof. Dr. Jürgen",Professor Fakultät Technik,Jürgen Erb,karlsruhe,2021
"Franken, Prof. Dr. Birgit",Professorin Fakultät Wirtschaft,Birgit Franken,karlsruhe,2021
"Freytag, Prof. Dr. Thomas",Professor Fakultät Wirtschaft Wissenschaftlicher Leiter International Office,Thomas Freytag,karlsruhe,2021
"Ganninger, Prof. Dr. Aline",Professorin Fakultät Technik,Aline Ganninger,karlsruhe,2021
"Geier,  Nicole",Akademische Mitarbeiterin (Lerntechnologie und Digitalisierung),Nicole Geier,karlsruhe,2021
"Grün, Prof. Dr. Markus",Professor Fakultät Wirtschaft,Markus Grün,karlsruhe,2021
"Haas, Prof. Martin",Professor Fakultät Technik,Martin Haas,karlsruhe,2021
"Harms, Prof. Dr. Torsten",Professor Fakultät Wirtschaft,Torsten Harms,karlsruhe,2021
"Heck,  Regina",Akademische Mitarbeiterin im Studiengang Angewandte Hebammenwissenschaft,Regina Heck,karlsruhe,2021
"Heinemann,  Sonja",Akademische Mitarbeiterin im Studiengang Angewandte Hebammenwissenschaft,Sonja Heinemann,karlsruhe,2021
"Heinz,  Aneta","Wissenschaftliche Mitarbeiterin im IPF-Projekt „Weiterbildungsstrategien in der IT-Branche“, Projekt Z",Aneta Heinz,karlsruhe,2021
"Klink, Prof. Dr. Stefan",Professor Fakultät WirtschaftFachliche Beratung zum Master Wirtschaftsinformatik,Stefan Klink,karlsruhe,2021
